,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
521,506166,APIS,APIS INDIA LTD.,Active,XT,10.0,INE070K01014,Other Food Products,Equity,17.70,NA,NA,18.05,18.40,NA
522,506178,ZKHATAUE,KHATAU EXIM LTD.,Active,XT,10.0,INE092P01017,Comm.Trading  & Distribution,Equity,NA,NA,NA,NA,NA,NA
523,506180,SRIOMTR,SHREE OM TRADES LTD.,Active,XT,10.0,INE668L01013,Comm.Trading  & Distribution,Equity,125.00,127.40,129.60,129.60,139.65,NA
524,506184,KANANIIND,KANANI INDUSTRIES LTD.,Active,B,1.0,INE879E01037,Other Apparels & Accessories,Equity,17.00,10.00,4.88,4.79,3.35,3.86
525,506186,GCKL,Galaxy Cloud Kitchens Ltd-$,Active,XT,10.0,INE403B01016,Packaged Foods,Equity,16.20,21.60,31.40,30.85,13.75,14.47
526,506190,ZSARVAMA,SARVAMANGAL MERCANTILE CO.LTD.,Active,XT,10.0,INE978L01016,Misc.Commercial Services,Equity,NA,NA,NA,NA,NA,NA
527,506194,ASL,Arihant Superstructures Limited,Active,B,10.0,INE643K01018,Realty,Equity,101.25,175.55,60.80,26.55,30.60,37.45
528,506196,VIKSHEN,VIKSIT ENGINEERING LTD.,Active,XT,10.0,INE965V01012,Comm.Trading  & Distribution,Equity,NA,NA,NA,NA,NA,NA
529,506197,BLISSGVS,BLISS GVS PHARMA LTD.,Active,A,1.0,INE416D01022,Pharmaceuticals,Equity,154.90,211.25,166.05,150.95,202.30,201.00
530,506222,INEOSSTYRO,INEOS Styrolution India Ltd,Active,B,10.0,INE189B01011,Specialty Chemicals,Equity,587.20,"1,075.45",686.80,717.75,832.45,912.65
531,506235,ALEMBICLTD,ALEMBIC LTD.,Active,A,2.0,INE426A01027,Pharmaceuticals,Equity,36.65,57.80,47.80,59.80,107.10,105.75
532,506248,AMNPLST,AMINES & PLASTICIZERS LTD.,Active,X,2.0,INE275D01022,Commodity Chemicals,Equity,30.45,68.90,37.85,31.75,63.10,67.75
533,506260,ANUHPHR,ANUH PHARMA LTD.,Active,X,5.0,INE489G01022,Pharmaceuticals,Equity,211.95,181.15,159.70,126.70,136.80,137.60
534,506261,MODISNME,MODISON METALS LTD.-$,Active,X,1.0,INE737D01021,Other Elect.Equip./ Prod.,Equity,56.50,74.15,44.55,31.40,49.20,55.65
535,506285,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A,10.0,INE462A01022,Agrochemicals,Equity,"4,210.95","4,457.00","4,217.45","3,562.00","5,433.95","5,794.75"
536,506313,SASHWAT,Sashwat Technocrats Limited,Active,P,10.0,INE789D01014,Construction Materials,Equity,19.60,29.85,32.85,48.10,81.90,NA
537,506365,CHEMOPH,CHEMO PHARMA LABORATORIES LTD.,Active,XT,10.0,INE320M01019,Pharmaceuticals,Equity,22.50,42.35,28.00,6.93,26.30,33.45
538,506390,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,Active,A,10.0,INE492A01029,Specialty Chemicals,Equity,700.40,574.30,417.65,386.25,368.05,374.20
539,506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,Active,A,1.0,INE169A01031,Fertilizers,Equity,292.10,576.40,450.05,532.30,813.95,816.80
540,506401,DEEPAKNI,DEEPAK NITRITE LTD.-$,Active,A,2.0,INE288B01029,Commodity Chemicals,Equity,91.80,231.90,220.90,372.90,942.40,"1,055.15"
541,506405,DHARAMSI,DHARAMSI MORARJI CHEMICAL CO.LTD.,Active,X,10.0,INE505A01010,Specialty Chemicals,Equity,114.30,118.65,132.55,107.60,206.35,191.85
542,506414,FERMENTA,Fermenta Biotech Ltd,Active,X,5.0,INE225B01021,Pharmaceuticals,Equity,735.00,"1,739.00","1,012.00",718.35,317.50,310.45
543,506480,GOCLCORP,GOCL Corporation Ltd-$,Active,B,2.0,INE077F01035,Oil Marketing & Distribution,Equity,271.35,570.00,293.65,280.00,195.25,201.55
544,506520,JAYCH,JAYSHREE CHEMICALS LTD.,Active,X,10.0,INE693E01016,Commodity Chemicals,Equity,10.97,18.65,10.14,3.40,4.54,5.02
545,506522,JLMORI,J.L.MORISON (INDIA) LTD.,Active,X,10.0,INE430D01015,Personal Products,Equity,"1,100.00","1,276.70","1,535.95","1,550.00","1,878.85","1,975.00"
546,506525,KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LTD.,Active,B,5.0,INE138C01024,Commodity Chemicals,Equity,66.15,97.35,68.40,41.20,49.30,64.80
547,506528,KELENRG,KELTECH ENERGIES LTD.,Active,X,10.0,INE881E01017,Specialty Chemicals,Equity,609.35,"1,352.85",893.90,636.90,579.90,595.95
548,506530,KEMP,KEMP & COMPANY LTD.,Active,X,10.0,INE060E01018,Containers & Packaging,Equity,237.60,335.20,755.00,585.20,429.45,NA
549,506532,NITTAGELA,NITTA GELATIN INDIA LTD.-$,Active,X,10.0,INE265B01019,Specialty Chemicals,Equity,206.25,263.00,131.00,124.55,170.90,169.05
550,506543,MPAGI,M.P.AGRO INDUSTRIES LTD.,Active,XT,10.0,INE468C01017,Fertilizers,Equity,5.38,5.69,4.72,1.94,3.60,3.32
551,506579,ORIENTCQ,ORIENTAL CARBON & CHEMICALS LTD.-$,Active,A,10.0,INE321D01016,Commodity Chemicals,Equity,773.75,"1,225.05","1,149.00","1,031.05",822.90,835.40
552,506590,PHILIPCARB,PHILLIPS CARBON BLACK LTD.,Active,A,2.0,INE602A01023,Carbon Black,Equity,222.85,975.30,206.60,118.45,174.00,173.85
553,506597,AMAL,AMAL LTD.,Active,X,10.0,INE841D01013,Specialty Chemicals,Equity,67.80,191.35,131.10,116.15,181.05,199.40
554,506605,POLYCHEM,POLYCHEM LTD.,Active,X,10.0,INE752B01024,Commodity Chemicals,Equity,380.00,445.00,346.60,410.00,424.00,461.35
