,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
417,504731,19.30,18.35,18.60,17.75,21.00,NA
418,504741,378.10,451.60,336.50,204.35,189.15,209.15
419,504746,657.15,550.00,603.40,530.00,392.50,NA
420,504786,156.25,508.90,305.00,159.50,189.10,204.00
421,504810,27.35,39.30,33.90,10.12,11.23,12.98
422,504840,895.30,"1,265.00",956.10,666.00,"1,214.00","1,211.70"
423,504879,32.00,53.60,28.95,15.80,22.75,25.45
424,504882,NA,NA,25.25,44.95,443.50,496.70
425,504908,78.95,110.10,77.95,113.00,120.60,117.90
426,504918,772.05,"1,204.15","1,030.90",700.55,"1,074.80","1,208.20"
427,504959,"2,062.05","3,266.00","2,429.05","2,046.25","1,997.75","2,010.15"
428,504961,48.70,69.65,48.25,27.50,36.30,40.75
429,504966,75.25,264.40,148.80,142.20,153.35,179.45
430,504973,582.85,686.55,521.55,497.20,535.65,577.05
431,504988,367.00,"1,308.95",674.30,435.10,339.00,337.65
432,504998,NA,NA,NA,NA,NA,NA
433,505010,619.15,"1,438.40","1,375.65",834.95,"1,026.45","1,092.60"
434,505029,355.05,220.10,78.30,48.10,40.25,40.55
435,505036,575.95,"1,254.20",690.00,555.35,395.25,411.85
436,505075,39.40,63.60,35.50,13.94,11.75,13.73
437,505141,38.15,50.60,40.70,30.90,32.50,32.40
438,505160,122.50,306.20,225.55,122.55,143.90,163.60
439,505163,"1,205.45","1,395.70",825.70,388.35,413.20,385.50
440,505192,"1,077.90",914.00,662.95,562.55,481.80,486.85
441,505196,262.05,619.20,271.80,175.80,177.55,182.10
442,505200,"21,812.10","30,290.55","23,168.50","22,512.70","2,530.15","2,760.50"
443,505212,32.00,57.00,55.90,42.00,40.65,NA
444,505216,555.00,799.95,699.00,595.00,560.00,550.40
445,505232,808.00,"1,199.90",822.65,"1,200.70",831.25,868.90
446,505242,"2,879.90","2,173.65","1,498.40",971.00,848.25,808.00
447,505250,53.10,92.10,60.90,41.50,45.05,51.25
