,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020
1690,526608,199.40,161.95,150.00,119.25,122.75
1691,526612,"4,318.05","4,560.85","3,374.65","2,194.30","4,002.50"
1692,526614,9.58,11.43,6.14,2.48,6.17
1693,526616,61.45,69.30,47.80,22.30,25.10
1694,526622,0.24,0.21,0.19,0.19,0.17
1695,526628,29.60,18.80,23.90,21.65,6.85
1696,526638,NA,NA,NA,NA,10.81
1697,526640,10.26,14.44,9.39,10.72,14.00
1698,526642,85.20,158.95,83.25,56.60,57.05
1699,526650,52.25,157.30,124.10,76.05,51.50
1700,526654,73.00,83.50,63.60,59.50,48.45
1701,526662,10.30,25.00,20.00,11.50,12.95
1702,526666,490.35,515.00,240.75,185.45,151.55
1703,526668,29.85,122.50,49.00,34.75,38.00
1704,526683,4.89,2.70,1.37,1.05,1.24
1705,526687,11.68,10.55,5.20,3.29,4.62
1706,526689,38.25,62.00,57.00,15.90,16.00
1707,526703,97.60,119.05,112.10,94.00,80.00
1708,526705,102.60,193.10,148.00,82.10,66.45
1709,526707,22.50,14.78,2.66,0.61,5.59
1710,526711,5.15,8.95,4.82,3.12,3.39
1711,526721,24.95,39.75,36.50,35.70,47.00
1712,526723,49.75,49.80,34.10,32.25,46.80
1713,526725,860.00,"1,466.45",750.70,625.20,642.00
1714,526727,13.00,46.10,13.70,7.32,21.30
1715,526729,64.80,85.35,81.05,142.60,232.80
1716,526731,72.80,126.00,83.90,73.75,82.50
1717,526737,12.29,18.65,12.92,9.05,3.35
1718,526739,134.50,174.70,109.30,156.95,168.80
1719,526747,77.95,211.40,79.00,79.80,104.55
1720,526751,11.00,11.50,13.20,12.50,8.92
1721,526755,5.93,7.10,4.92,3.34,2.47
1722,526761,6.78,8.32,8.44,5.89,4.93
1723,526775,70.05,79.40,30.75,18.95,67.95
1724,526783,322.50,700.45,396.00,289.95,267.05
1725,526795,5.25,5.70,2.69,3.10,3.15
1726,526797,258.70,337.90,138.05,159.35,129.05
1727,526799,54.00,41.30,20.00,28.00,14.60
1728,526807,80.70,182.10,201.00,465.60,480.55
1729,526813,2.35,3.50,2.23,2.62,4.01
1730,526817,884.90,"1,265.30",730.05,793.45,708.10
1731,526821,496.25,425.70,218.30,319.00,295.10
1732,526823,3.88,5.70,6.30,8.44,5.10
1733,526827,21.75,21.65,16.30,19.75,5.20
1734,526829,7.64,31.35,38.05,28.55,39.80
1735,526839,11.50,8.12,15.75,13.30,12.12
1736,526847,12.90,13.10,10.11,5.52,14.88
1737,526849,57.85,90.00,49.00,31.25,60.20
1738,526851,64.40,91.00,68.00,40.30,60.75
1739,526853,65.10,62.90,33.20,19.75,46.75
1740,526859,0.44,0.46,0.37,0.33,0.65
1741,526861,18.00,38.55,25.65,12.07,8.55
1742,526865,3.57,2.15,0.87,0.52,0.47
1743,526871,44.10,41.50,34.55,33.25,9.05
1744,526881,71.75,118.75,98.85,101.70,80.85
1745,526885,58.90,70.95,31.20,21.15,27.85
1746,526887,0.96,0.69,0.63,0.55,0.46
1747,526891,4.48,5.25,4.43,4.61,4.70
1748,526899,17.85,42.05,11.96,6.21,12.41
1749,526901,11.00,6.75,8.64,6.30,8.45
1750,526905,36.50,75.00,107.00,16.00,5.55
1751,526921,20.40,28.75,23.70,16.25,10.76
1752,526931,66.30,93.80,50.05,42.45,42.60
1753,526935,4.25,7.50,6.55,10.20,27.00
1754,526945,53.75,52.00,35.45,28.35,38.00
1755,526947,447.75,608.25,219.85,145.90,230.50
1756,526951,419.05,697.20,659.10,524.90,947.35
1757,526953,96.55,102.75,43.70,22.50,171.90
1758,526959,7.48,7.11,4.77,2.62,2.52
1759,526961,19.95,19.95,32.00,22.45,24.45
1760,526965,20.50,53.55,42.00,29.00,40.60
1761,526967,3.04,1.91,1.91,2.99,2.98
1762,526971,36.95,83.75,33.15,17.00,34.20
