,Security Code,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
2625,532773,53.60,56.65,51.60,47.30,51.65,53.85,51.20
2626,532774,25.20,31.95,28.85,26.45,29.10,34.75,38.70
2627,532775,0.71,0.77,0.65,0.63,0.52,0.72,0.94
2628,532776,12.80,18.10,15.50,16.90,22.55,20.35,21.80
2629,532777,"3,195.35","3,259.70","3,630.35","3,548.20","4,270.25","4,766.80","5,476.90"
2630,532779,325.55,333.00,313.05,311.85,315.95,317.40,334.50
2631,532780,2.53,3.27,2.50,2.30,3.70,4.95,6.00
2632,532782,18.90,22.80,26.35,27.35,28.70,46.05,48.35
2633,532783,52.30,55.95,54.20,53.20,52.50,57.15,56.95
2634,532784,219.30,262.35,222.85,291.30,310.90,414.25,479.00
2635,532785,44.15,61.25,50.00,47.30,50.35,64.10,66.25
2636,532790,118.55,229.35,292.10,325.15,612.80,681.95,757.75
2637,532794,5.32,7.11,5.35,4.76,4.87,5.85,5.50
2638,532795,1.77,1.86,1.53,0.66,0.73,1.45,1.51
2639,532796,95.40,96.50,97.90,95.45,101.95,125.25,130.50
2640,532797,28.75,35.95,32.40,27.50,29.75,35.40,34.50
2641,532798,40.65,38.00,33.00,34.65,34.10,35.90,37.05
2642,532799,10.58,12.45,10.46,9.91,12.25,16.57,19.65
2643,532800,33.35,31.70,28.60,28.70,29.70,30.95,31.25
2644,532801,15.80,23.75,23.90,30.00,32.30,46.50,50.00
2645,532804,220.20,269.20,368.80,338.65,301.80,354.95,358.60
2646,532805,90.30,107.30,118.20,129.55,131.75,132.20,135.25
2647,532806,7.79,6.59,7.11,7.27,10.51,13.05,15.01
2648,532807,23.55,29.30,27.05,25.65,33.35,36.90,41.25
2649,532808,114.75,144.00,147.00,163.15,167.70,200.50,191.35
2650,532809,48.85,61.70,72.85,70.00,79.50,101.35,98.70
2651,532810,80.85,94.20,86.25,87.10,108.30,114.25,119.70
2652,532811,216.75,260.50,234.20,219.05,245.70,266.00,267.05
2653,532812,3.01,3.50,2.94,2.54,2.31,2.62,3.00
2654,532813,1.98,2.90,2.30,2.35,3.70,7.30,7.09
2655,532814,58.40,64.90,56.35,58.00,67.60,85.55,86.35
2656,532815,75.15,83.90,88.55,83.10,88.45,118.05,117.90
2657,532817,8.45,10.21,8.90,8.66,8.05,10.99,11.15
2658,532819,"1,083.35","1,155.90","1,338.15","1,326.90","1,417.45","1,657.45","1,763.40"
2659,532820,3.70,4.59,6.17,6.20,5.15,5.11,5.06
2660,532822,8.40,10.19,9.56,8.75,9.81,10.64,11.49
2661,532823,1.15,1.63,3.32,3.09,NA,2.28,1.81
2662,532825,0.35,0.38,0.48,0.55,0.67,1.04,0.95
2663,532826,34.30,37.50,33.60,34.70,35.85,36.05,37.20
2664,532827,"19,807.80","18,979.25","21,379.50","20,064.10","22,761.80","27,611.35","29,705.95"
2665,532828,13.70,17.00,16.75,15.75,15.65,19.65,20.55
2666,532829,18.05,20.55,18.35,16.60,20.10,20.00,25.90
2667,532830,965.95,"1,122.50","1,224.25","1,123.90","1,463.65","1,787.30","1,787.15"
2668,532832,50.45,63.15,51.30,47.60,64.70,82.25,84.35
2669,532834,74.15,91.45,114.00,96.00,115.65,122.35,120.90
2670,532835,"2,513.80","2,809.65","2,792.85","2,814.25","2,605.45","2,925.70","2,948.90"
2671,532839,7.17,11.08,13.51,11.34,10.18,13.44,12.99
2672,532841,190.70,208.40,190.25,216.85,254.95,318.40,324.55
2673,532842,152.75,163.55,168.85,172.70,257.35,247.00,251.20
2674,532843,138.00,132.55,135.30,125.55,151.10,154.95,174.50
2675,532845,3.93,7.08,5.00,4.91,4.96,5.77,5.99
2676,532847,8.46,10.34,10.25,8.60,9.80,11.71,14.58
2677,532848,86.05,110.30,110.45,117.85,129.65,160.60,150.90
2678,532850,0.89,0.70,0.57,0.95,0.80,1.05,1.20
2679,532851,416.50,480.30,486.35,462.85,441.10,468.25,470.65
2680,532852,24.80,24.35,24.95,23.75,24.05,32.85,35.95
2681,532853,208.85,204.70,213.70,217.40,217.35,251.00,238.10
2682,532854,0.76,0.67,0.70,0.44,0.40,0.78,0.79
2683,532855,24.50,25.45,27.85,26.30,29.95,33.35,34.35
2684,532856,36.65,42.05,36.95,37.60,45.30,49.35,55.65
2685,532859,806.90,680.95,691.55,665.45,902.75,"1,128.90","1,164.00"
2686,532864,48.60,54.50,60.65,56.75,61.80,62.75,65.95
2687,532865,59.40,67.90,80.40,71.15,80.95,82.70,82.40
2688,532867,45.65,56.35,50.40,46.20,84.30,100.15,98.85
2689,532868,141.10,158.25,152.55,158.30,187.10,232.85,247.00
2690,532869,33.65,40.50,44.75,37.55,38.40,52.95,49.10
2691,532870,0.79,1.01,0.84,0.91,0.99,1.73,1.71
