,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
81,500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A,1.0,INE531A01024,Furniture-Furnishing-Paints,Equity,432.80,478.95,500.25,514.50,541.85,606.60,606.05
82,500166,GOODRICKE,GOODRICKE GROUP LTD.,Active,X,10.0,INE300A01016,Tea & Coffee,Equity,227.45,282.60,288.05,281.05,261.60,277.10,262.80
83,500168,GOODYEAR,GOODYEAR INDIA LTD.,Active,A,10.0,INE533A01012,Auto Tyres & Rubber Products,Equity,895.15,953.25,850.30,809.60,821.95,965.75,954.20
84,500170,GTNINDS,GTN INDUSTRIES LTD.,Active,T,10.0,INE537A01013,Textiles,Equity,7.27,8.24,7.77,6.55,8.63,13.40,14.03
85,500171,GHCL,GHCL LTD.,Active,A,10.0,INE539A01019,Commodity Chemicals,Equity,138.05,160.05,158.55,156.55,169.95,205.20,212.95
86,500173,GFLLIMITED,GFL Ltd,Active,A,1.0,INE538A01037,Industrial Gases,Equity,80.05,94.65,95.90,79.55,83.25,89.95,96.40
87,500174,GLFL,GUJARAT LEASE FINANCING LTD.,Active,B,10.0,INE540A01017,Finance (including NBFCs),Equity,2.09,1.81,2.58,2.19,2.14,2.40,3.15
88,500179,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,B,2.0,INE236A01020,Computer Hardware,Equity,8.75,8.53,7.97,7.65,8.12,8.74,9.40
89,500180,HDFCBANK,HDFC Bank Ltd,Active,A,1.0,INE040A01034,Banks,Equity,"1,032.65","1,115.20","1,079.20","1,183.45","1,440.70","1,436.75","1,450.80"
90,500182,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A,2.0,INE158A01026,2/3 Wheelers,Equity,"2,677.20","3,007.10","3,145.85","2,799.80","3,104.65","3,109.35","3,197.55"
91,500183,HFCL,HFCL Ltd,Active,A,1.0,INE548A01028,Telecom Cables,Equity,12.50,15.46,15.85,17.30,18.45,25.75,33.20
92,500184,HSCL,Himadri Speciality Chemical Ltd,Active,A,1.0,INE019C01026,Specialty Chemicals,Equity,42.85,51.35,53.80,47.15,41.00,43.80,49.60
93,500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A,1.0,INE549A01026,Construction & Engineering,Equity,5.54,5.93,5.27,4.96,5.78,9.04,8.87
94,500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A,10.0,INE345A01011,Exploration & Production,Equity,64.85,75.45,72.45,63.90,76.75,86.30,90.55
95,500187,HSIL,HSIL LTD.,Active,B,2.0,INE415A01038,Containers & Packaging,Equity,54.95,62.40,79.50,77.70,103.00,118.95,116.95
96,500188,HINDZINC,HINDUSTAN ZINC LTD.,Active,A,2.0,INE267A01025,Zinc,Equity,210.35,226.65,209.90,203.25,229.80,238.90,292.30
97,500189,NXTDIGITAL,Nxtdigital Ltd,Active,B,10.0,INE353A01023,Broadcasting & Cable TV,Equity,400.70,671.80,640.15,618.15,595.55,530.70,614.95
98,500191,HMT,HMT LTD.,Active,Z,10.0,INE262A01018,Commercial Vehicles,Equity,16.63,16.95,15.00,14.79,14.66,21.60,25.45
99,500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10.0,INE962B01011,Textiles,Equity,2.17,2.22,2.18,2.05,2.08,2.23,2.25
100,500193,HLVLTD,HLV Ltd,Active,B,2.0,INE102A01024,Hotels,Equity,4.80,5.02,4.84,4.67,4.94,5.12,7.06
